,id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365
15540,12495520,Manhattan Club Penthouse Suite,57769941,Manhattan,Midtown,40.7659,-73.98210999999999,Entire home/apt,325,1,0,0
15542,12495831,Sunny studio loft in midtown with elevator!,22527211,Manhattan,Midtown,40.75914,-73.96591,Entire home/apt,190,29,53,165
15581,12547481,Big 1BR apt near Central Park & Times Square!,43436738,Manhattan,Midtown,40.76589,-73.98068,Entire home/apt,150,2,1,0
15587,12558307,Luxury 2BR Midtown East-Near UN!,26521212,Manhattan,Midtown,40.75207,-73.97351,Entire home/apt,299,2,5,0
15593,12561615,Stunning Bedroom in Midtown East,68094755,Manhattan,Midtown,40.757090000000005,-73.96327,Private room,98,3,98,278
15610,12585015,FANTASTIC FLOOR THROUGH ONE BEDROOM,18901504,Manhattan,Midtown,40.755,-73.96670999999999,Entire home/apt,218,5,69,152
15631,12604187,A top floor in Midtown,18901504,Manhattan,Midtown,40.75369,-73.96632,Entire home/apt,218,5,81,185
15664,12652765,Private Studio in Herald Square,68729762,Manhattan,Midtown,40.7504,-73.98775,Entire home/apt,150,1,2,0
15733,12723066,NYC 2 BDRM Apt. Apt. 3A,17770287,Manhattan,Midtown,40.7503,-73.98144,Entire home/apt,184,30,9,332
15742,12731689,Flatiron NYC 1 Bed/1 Bath Apt!,1911171,Manhattan,Midtown,40.7421,-73.98319000000001,Entire home/apt,240,4,59,37
15774,12755571,Studio in the heart of Manhattan,69384130,Manhattan,Midtown,40.75227,-73.97351,Entire home/apt,143,1,1,0
15798,12778678,East Midtown Modern Alcove Studio 3,45595980,Manhattan,Midtown,40.760490000000004,-73.96621,Entire home/apt,140,30,5,290
15800,12780595,Luxury White Glove Apartment 57th St and Broadway,69545387,Manhattan,Midtown,40.76628,-73.98308,Entire home/apt,95,14,3,159
15888,12851015,Midtown East XL 1 BR,61391963,Manhattan,Midtown,40.75755,-73.9666,Entire home/apt,133,30,3,342
15894,12853281,Brand New Luxurious Studio Midtown,61391963,Manhattan,Midtown,40.755720000000004,-73.96936,Entire home/apt,125,30,7,149
15902,12856529,COZY APARTMENT NEXT TO CENTRAL PARK,1491770,Manhattan,Midtown,40.76386,-73.97702,Entire home/apt,180,3,1,0
15913,12865981,1 bed room Presidential Suite,70342170,Manhattan,Midtown,40.753370000000004,-73.97289,Entire home/apt,900,3,0,358
15923,12870344,MIDTOWN EAST PRIVATE ROOM,70382366,Manhattan,Midtown,40.75347,-73.97293,Private room,145,1,0,0
15944,12887457,HUGE AMAZING STUDIO/ FEEL LIKE HOME,1475015,Manhattan,Midtown,40.757540000000006,-73.96943,Entire home/apt,115,30,0,343
15946,12888849,"Bright Luxury Studio, Central Loc.",16476167,Manhattan,Midtown,40.745129999999996,-73.98475,Entire home/apt,250,366,0,365
16117,13019333,Sunny 1BR next to Central Park,3671013,Manhattan,Midtown,40.76232,-73.97614,Private room,100,2,0,0
16118,13019720,2 Bedroom Wyndham Midtown 45 Sleeps 6,57574248,Manhattan,Midtown,40.7533,-73.97346,Entire home/apt,275,3,16,0
16126,13028533,1 BD Suite W/ Kitchen 550 SQFT Wyn Midtown 45 NYC,57574248,Manhattan,Midtown,40.753029999999995,-73.97327,Entire home/apt,170,2,9,0
16132,13032261,2bd Presidential NYC,57571805,Manhattan,Midtown,40.75315,-73.97339000000001,Entire home/apt,350,2,3,0
16151,13044668,Master bedroom to rent in Flatiron District,72168153,Manhattan,Midtown,40.744640000000004,-73.98436,Private room,70,20,4,8
16186,13064717,76 St & 2 Ave /Renovated studio/ Elevator/ Laundry,1475015,Manhattan,Midtown,40.76102,-73.96555,Entire home/apt,87,30,2,365
16203,13076887,Spacious Studio in Midtown Manhattan,41263120,Manhattan,Midtown,40.75325,-73.97015999999999,Entire home/apt,190,4,0,0
16206,13077317,"East 29th Street, Luxury Studio in NOMAD",22541573,Manhattan,Midtown,40.74426,-73.98535,Entire home/apt,192,30,0,334
16208,13077988,"East 29th Street, Luxury 1bd in NOMAD",22541573,Manhattan,Midtown,40.74556,-73.98541999999999,Entire home/apt,219,30,0,343
16218,13082600,Cozy 1 bedroom apartment in the heart of Manhattan,4980733,Manhattan,Midtown,40.75584,-73.96979,Entire home/apt,300,1,38,361
16226,13084019,Park Avenue Penthouse With Terrace,72596571,Manhattan,Midtown,40.750820000000004,-73.98526,Entire home/apt,400,7,103,344
16230,13091684,"Sunny 2bdrm Apt. near Bryant Park, Apt 2B",17770287,Manhattan,Midtown,40.74927,-73.98303,Entire home/apt,163,30,4,332
16232,13092405,Midtown Apartment,72684665,Manhattan,Midtown,40.757329999999996,-73.96576999999999,Entire home/apt,150,1,136,248
16284,13113626,Fantastic Midtown Apartment!-2b,46648109,Manhattan,Midtown,40.757220000000004,-73.97842,Entire home/apt,559,30,2,0
16287,13114072,"West 55th street, Lux 1bd Serviced Apartment",22541573,Manhattan,Midtown,40.76367,-73.98345,Entire home/apt,269,30,1,364
16367,13156998,1 BR / studio right by Central Park,3671013,Manhattan,Midtown,40.76365,-73.97754,Entire home/apt,200,1,0,0
16399,13170860,"***Luxury Doorman, Grand Central, United Nations**",52950465,Manhattan,Midtown,40.75266,-73.97251999999999,Entire home/apt,142,30,0,323
16402,13171746,Large Sunny Bedroom with Empire State Views,31154454,Manhattan,Midtown,40.74244,-73.98316,Private room,99,1,180,2
16448,13202401,"West 48th Street, Lux Studio near Rockefeller Ctr",22541573,Manhattan,Midtown,40.756409999999995,-73.97811999999999,Entire home/apt,219,30,0,342
16535,13246804,One cozy private BR close to the mecca of shopping,4832845,Manhattan,Midtown,40.760259999999995,-73.9659,Private room,80,1,275,45
16569,13272041,A queen size bed with a cat near Grand Central,4920111,Manhattan,Midtown,40.75242,-73.97261,Private room,100,1,4,0
16572,13274918,Murray Hill Modern 1 bedroom (B),50760546,Manhattan,Midtown,40.74569,-73.98192,Entire home/apt,150,30,2,64
16593,13282553,Comfortable Midtown Appartment 2BR,22656176,Manhattan,Midtown,40.756040000000006,-73.9681,Entire home/apt,185,1,2,0
16767,13393092,Deluxe 1-Bedroom near Empire State Building!,30283594,Manhattan,Midtown,40.75186,-73.97062,Entire home/apt,259,30,0,184
16795,13407354,COZY 1BR IN MIDTOWN EAST!,6455254,Manhattan,Midtown,40.75352,-73.96807,Entire home/apt,139,2,102,235
16796,13407476,Spacious Midtown East 2 Bedroom,61391963,Manhattan,Midtown,40.75608,-73.96895,Entire home/apt,200,30,2,101
16813,13415100,Park Avenue 3 Bedroom 1.5 Bath,50760546,Manhattan,Midtown,40.74439,-73.98125,Entire home/apt,185,29,1,139
16843,13429591,"West 48th Street, Lux 1bd Apt near Rockefeller Ctr",22541573,Manhattan,Midtown,40.75695,-73.97988000000001,Entire home/apt,279,30,0,332
16867,13436088,• Eye Catching Views  | Luxurious 1 Bedroom •,3191545,Manhattan,Midtown,40.76569,-73.98281,Entire home/apt,219,30,8,362
16875,13443640,Deluxe 3-BR + 3.5Bath with sweeping city views!!,30283594,Manhattan,Midtown,40.75143,-73.96973,Entire home/apt,1100,120,0,184
16901,13459473,Spacious room in Midtown East Manhattan,956383,Manhattan,Midtown,40.758959999999995,-73.96439000000001,Private room,105,7,0,0
16907,13461289,Luxurious Studio at MidTown Manhattan,22462003,Manhattan,Midtown,40.74754,-73.98741,Entire home/apt,288,5,2,0
16911,13464667,Private Room in Midtown Manhattan,18655157,Manhattan,Midtown,40.74562,-73.98538,Private room,79,99,0,364
16930,13477234,Midtown Luxurious 1 bedroom apt.,49939937,Manhattan,Midtown,40.7531,-73.97158,Entire home/apt,101,4,1,0
16949,13489234,Cozy 1BR in Midtown Manhattan,1455109,Manhattan,Midtown,40.75823,-73.96453000000001,Entire home/apt,175,1,2,0
17028,13526398,Modern 1 Bedroom 4FL w/Marble Bthr,45595980,Manhattan,Midtown,40.760709999999996,-73.96469,Entire home/apt,150,30,8,267
17037,13529607,"East 40th Street, Lux Serviced Studio Apt",22541573,Manhattan,Midtown,40.74992,-73.97223000000001,Entire home/apt,189,30,0,188
17064,13540817,"East 55th Street, Luxury 1bd Serviced Apt",22541573,Manhattan,Midtown,40.7588,-73.96611,Entire home/apt,260,30,1,341
17069,13542768,"East 57th Street, Lux Svcd Studio Apt",22541573,Manhattan,Midtown,40.75897,-73.9617,Entire home/apt,210,30,0,188
17070,13542938,"East 58th Street, Lux Svcd 1bd Apt",22541573,Manhattan,Midtown,40.75724,-73.96384,Entire home/apt,245,30,0,280
17073,13544023,"East 57th Street, Lux Svcd Studio Apt",22541573,Manhattan,Midtown,40.757259999999995,-73.96177,Entire home/apt,220,30,0,188
17074,13544120,MY HOME / YOUR HOME /BEAUTIFUL HUGE 1BR,1475015,Manhattan,Midtown,40.75683,-73.9659,Entire home/apt,95,30,5,342
17075,13544302,Park Avenue 4 Bedroom 1 Bath,50760546,Manhattan,Midtown,40.74564,-73.98174,Entire home/apt,250,30,1,215
17123,13571350,Perfect studio in Manhattan midtown,78258683,Manhattan,Midtown,40.743109999999994,-73.98286,Entire home/apt,150,5,0,0
17129,13573625,"Huge 1bdrm w pt Doorman, WiFi/Cable, Bottled Water",78285810,Manhattan,Midtown,40.754940000000005,-73.96738,Entire home/apt,259,4,0,0
17173,13603951,Cozy NYC 1bedroom - close to all,78499938,Manhattan,Midtown,40.75561,-73.96472,Entire home/apt,175,4,0,0
17180,13606847,1 bedroom furnished with WIFI and cable. Murr Hill,53179388,Manhattan,Midtown,40.750040000000006,-73.97089,Entire home/apt,115,30,5,289
17216,13623891,Stunning Studio in Midtown BEST LOCATION,78929276,Manhattan,Midtown,40.7441,-73.98834000000001,Entire home/apt,199,2,106,250
17336,13686914,Murray Hill/Midtown East Flex Bedroom,28250527,Manhattan,Midtown,40.75257,-73.97148,Private room,65,1,0,0
17399,13722149,1 bed room apt in NYC near Empire State Building,8327308,Manhattan,Midtown,40.74754,-73.98309,Entire home/apt,119,7,1,0
17413,13728033,Large Studio in quite Midtown East,58625222,Manhattan,Midtown,40.754490000000004,-73.96545,Entire home/apt,199,3,0,0
17471,13754150,Elegant Stu Suite in  Midtown East  -21,80479138,Manhattan,Midtown,40.75965,-73.96543,Entire home/apt,140,30,14,75
17518,13777303,Chelsea  Modern 1 BR. Apartment,70181692,Manhattan,Midtown,40.74595,-73.98996,Entire home/apt,399,1,1,0
17573,13820755,Modern NYC Studio Apartment Near Central Park!,30283594,Manhattan,Midtown,40.76647,-73.98146,Entire home/apt,199,30,0,189
17635,13865089,Convenient Gem in Midtown East,32833394,Manhattan,Midtown,40.7542,-73.96862,Private room,90,12,0,70
17636,13865843,Summer Weekend in the City,81969914,Manhattan,Midtown,40.75248,-73.97332,Private room,200,2,0,0
17642,13873028,Penthouse in Midtown Manhattan,82054811,Manhattan,Midtown,40.76518,-73.98210999999999,Private room,500,3,0,0
17678,13885829,LUXE STUDIO SUITE - Midtown East - 22,80479138,Manhattan,Midtown,40.75965,-73.96631,Entire home/apt,140,30,12,68
17752,13927957,Charming Manhattan-Midtown Studio,82740724,Manhattan,Midtown,40.752590000000005,-73.97061,Entire home/apt,129,1,159,193
17764,13939924,Spectacular Views! Gorgeous 25th flr Columbus Cl,17551179,Manhattan,Midtown,40.76618,-73.98279000000001,Entire home/apt,225,1,0,0
17775,13943523,Spacious Manhattan apartment with amazing view,24461849,Manhattan,Midtown,40.74569,-73.98592,Entire home/apt,280,3,2,0
17815,13970217,Modern 2 BR Duplex apartment in Sutton Place - 42,80479138,Manhattan,Midtown,40.76036,-73.96462,Entire home/apt,225,30,7,321
17845,13991186,Well appointment apartment in doorman building,1419430,Manhattan,Midtown,40.76543,-73.97929,Entire home/apt,275,2,2,0
17857,13995614,"Quiet bedroom in a bright loft, Heart of Manhattan",82539853,Manhattan,Midtown,40.74205,-73.98382,Private room,140,2,0,0
17904,14027065,Clean and comfortable stay,23502477,Manhattan,Midtown,40.75273,-73.96904,Private room,90,5,0,0
17908,14028280,NEW! BEST LOCATION !!! 3min to Rockefeller Plaza,60688035,Manhattan,Midtown,40.75938,-73.97235,Private room,250,3,152,229
17937,14054091,Central Cozy 3 Bedrooms Apartment,83978541,Manhattan,Midtown,40.75966,-73.96828000000001,Entire home/apt,235,30,23,134
17951,14065448,Doorman GYM Studio Best Location 5193,16098958,Manhattan,Midtown,40.753370000000004,-73.99058000000001,Entire home/apt,156,30,2,189
17952,14065821,Doorman Views Location One bedroom 5194,16098958,Manhattan,Midtown,40.75298,-73.98874,Entire home/apt,170,30,3,0
17965,14071436,Luxurious Full Floor 2 Bedroom Best Location,61391963,Manhattan,Midtown,40.75683,-73.96901,Entire home/apt,165,30,0,147
17968,14073163,NYC Wyndham 1 bedroom Presidential Condo sleeps 4,60617669,Manhattan,Midtown,40.7535,-73.97134,Entire home/apt,159,2,12,0
17985,14091664,Spacious 1BD w Amazing City views,24176743,Manhattan,Midtown,40.74572,-73.98285,Entire home/apt,240,2,5,0
17990,14092808,Great apt right by Grand Central!!,70671555,Manhattan,Midtown,40.75043,-73.97243,Private room,86,14,0,346
18069,14148988,"Heart of Manhattan, affordable place!",4478946,Manhattan,Midtown,40.75247,-73.97305,Entire home/apt,153,1,1,0
18113,14177069,AS CENTRAL AS YOU CAN GET ~SUTTON PLACE 3BR-LUXURY,2856748,Manhattan,Midtown,40.75546,-73.96454,Entire home/apt,375,30,0,245
18124,14185610,GORGEOUS STUDIO ON MIDTOWN,22860550,Manhattan,Midtown,40.756009999999996,-73.96625,Entire home/apt,115,8,24,196
18166,14219018,Huge Lux Designer 1 BR. Renovated,10388850,Manhattan,Midtown,40.756370000000004,-73.96338,Entire home/apt,379,20,0,364
18170,14221071,Two bedroom near Grand Central with a view!!,7408622,Manhattan,Midtown,40.75083,-73.97151,Entire home/apt,700,5,23,179
18178,14233670,Luxury 1 Bedroom Condo in Central Park South,86538929,Manhattan,Midtown,40.76566,-73.97748,Entire home/apt,349,2,6,0
18202,14254624,Full Cosy apart in the middle of Manhattan!,60366482,Manhattan,Midtown,40.75095,-73.97115,Entire home/apt,110,4,36,40
18231,14284714,Mid-town Manhattan (East Side near UN),38179715,Manhattan,Midtown,40.752590000000005,-73.96797,Entire home/apt,150,2,13,69
18251,14314562,Affordable 3 BR In City Center,78331155,Manhattan,Midtown,40.74426,-73.9825,Entire home/apt,350,5,24,137
18356,14408114,Unparalleled Luxury in Midtown Manhattan,836168,Manhattan,Midtown,40.76455,-73.97959,Entire home/apt,2500,30,4,364
18401,14467580,★STAY IN OUR MIDTOWN LUXURIOUS STUDIO SUITE★,64065593,Manhattan,Midtown,40.7538,-73.97139,Entire home/apt,252,2,16,327
18407,14471418,Studio - St Regis Residence Club,60535711,Manhattan,Midtown,40.76079,-73.97528,Entire home/apt,650,2,6,363
18457,14524079,Times Square Best Location Studio (Entire apt),51446345,Manhattan,Midtown,40.75316,-73.9851,Entire home/apt,189,2,164,206
18505,14571686,Beautifull Studio Apt. by Central Park,30283594,Manhattan,Midtown,40.76641,-73.98163000000001,Entire home/apt,219,30,0,189
18560,14653800,Central Park South 2 Bedroom 1 Bathroom,50760546,Manhattan,Midtown,40.76552,-73.97661,Entire home/apt,199,29,2,148
18582,14683983,RATED ★★★★★ IN THIS 2 BEDROOM PRESIDENTIAL SUITE,64065593,Manhattan,Midtown,40.75294,-73.9733,Entire home/apt,672,2,23,268
18643,14745847,Beautifu large studio in the heart  of Manhattan,39939354,Manhattan,Midtown,40.75797,-73.97004,Entire home/apt,150,7,29,31
18679,14783847,Midtown East Pied-à-Terre,32507569,Manhattan,Midtown,40.75586,-73.96185,Entire home/apt,200,6,23,89
18749,14840822,"East midtown, Steps from the UN +GC",74974718,Manhattan,Midtown,40.75015,-73.97081999999999,Private room,200,5,41,333
18765,14855614,Luxury New York City Westside Suite,92067070,Manhattan,Midtown,40.76419,-73.98053,Entire home/apt,500,1,5,361
18776,14868347,NYC Studio Apt right by Central Park!!,30283594,Manhattan,Midtown,40.76556,-73.98196999999999,Entire home/apt,199,30,1,189
18787,14881637,Lovely 1 BR in Prime Location on E 26 & 3 - NYC,15310997,Manhattan,Midtown,40.76505,-73.97856999999999,Entire home/apt,125,30,3,0
18796,14886600,"Midtown East Studio Apt ~ Private, Cozy & Bright",93373413,Manhattan,Midtown,40.75735,-73.96438,Entire home/apt,198,2,22,8
18905,15018646,★1 BR DELUXE★ Near Grand Central Station -Midtown,64065593,Manhattan,Midtown,40.75233,-73.97137,Private room,378,2,1,285
18918,15032254,Mid-town West/Private room/shared bath,78022684,Manhattan,Midtown,40.76485,-73.98121,Private room,112,2,1,0
18920,15034150,34th street &6th ave.! Doorman Gym Studio 5220,16098958,Manhattan,Midtown,40.75034,-73.9878,Entire home/apt,250,30,0,311
18948,15052112,"FLATIRON""""GRAND PANORAMA""""LUXURY~3 BR W/Roof Deck",57552512,Manhattan,Midtown,40.74296,-73.98691,Entire home/apt,584,5,89,179
18966,15059292,HUGE ROOM IN CENTER CITY! AMAZING LOCATION!,95205288,Manhattan,Midtown,40.76276,-73.97652,Private room,110,4,32,167
18991,15083571,"Spacious 2 bdrm Apt. in the center of  NYC, Apt 4C",17770287,Manhattan,Midtown,40.74949,-73.98277,Entire home/apt,175,30,5,326
19021,15107952,"Cute, Sun filled Sudio Apartment in Manhattan",95467310,Manhattan,Midtown,40.74371,-73.98454,Entire home/apt,165,3,57,157
19041,15126360,"Live Like a NYer - small space, dope neighborhood",5424751,Manhattan,Midtown,40.75645,-73.97828,Entire home/apt,475,1,0,364
19056,15133923,Private bedroom & bath/Times Square & Central Park,78022684,Manhattan,Midtown,40.7641,-73.97989,Private room,149,2,24,0
19073,15149591,1 BDRM in Wyndham Midtown 45 *Great Location!,96098402,Manhattan,Midtown,40.75376,-73.97131999999999,Private room,699,3,4,365
19083,15162388,West 57th Hilton Club in NYC - mid-November,96202421,Manhattan,Midtown,40.76529,-73.97713,Private room,350,3,0,0
19110,15191225,Getaway❤️Romantic Retreat in a PRESIDENTIAL SUITE,64065593,Manhattan,Midtown,40.75326,-73.97303000000001,Entire home/apt,462,2,3,299
19111,15191740,★★LUXURY at a MIDTOWN RESORT★★,64065593,Manhattan,Midtown,40.753679999999996,-73.97358,Private room,198,2,30,333
19112,15191882,★★SLEEP ON CLOUD 9 IN OUR DOUBLE BED SUITE★★,64065593,Manhattan,Midtown,40.753240000000005,-73.97216999999999,Entire home/apt,198,2,16,263
19121,15204878,PRESIDENTIAL Condo 1 BDRM Wyndham Midtown 45 NYC,96098402,Manhattan,Midtown,40.75362,-73.97158,Private room,749,2,5,365
19122,15205915,2BdrmPRESIDENTIAL Luxury CONDO In the Heart of NYC,96098402,Manhattan,Midtown,40.7521,-73.972,Private room,799,4,3,365
19123,15206157,1Bdrm DELUXE Fully Renovated CONDO Wyndham Midtown,96098402,Manhattan,Midtown,40.75331,-73.9733,Private room,599,3,8,365
19126,15206607,STUDIO Condo in luxurious Wyndham Midtown 45 NYC,96098402,Manhattan,Midtown,40.75294,-73.9719,Private room,699,3,3,365
19127,15206836,Studio King Wyndham Midtown 45 Hotel,96098402,Manhattan,Midtown,40.75351,-73.97196,Private room,499,3,12,365
19135,15218066,1Bdrm Deluxe WYNDHAM MIDTOWN 45*Great Location NYC,96098402,Manhattan,Midtown,40.75388,-73.97308000000001,Private room,799,3,2,365
19136,15218299,Hotel Style KG/QN Room WYNDHAM MIDTOWN 45,96098402,Manhattan,Midtown,40.753440000000005,-73.97207,Private room,499,3,7,365
19138,15218579,2 Double Bed WYNDHAM MIDTOWN 45 *NYC*,96098402,Manhattan,Midtown,40.75359,-73.97295,Private room,649,2,13,365
19139,15218699,2Bdrm PRESIDENTIAL CONDO Wyndham Midtown 45 Hotel,96098402,Manhattan,Midtown,40.75375,-73.97295,Private room,799,4,3,365
19157,15233134,Bluebird Deluxe 1-BR Apartment Near Central Park!,95459395,Manhattan,Midtown,40.76574,-73.98188,Entire home/apt,534,30,0,316
19158,15233387,#Bluebird Elegant 1-BR Apartment Near Times Square,95459395,Manhattan,Midtown,40.7671,-73.98148,Entire home/apt,300,30,0,364
19160,15234201,#BBS 2-BR Apartment Near Times Square *Specials*,95459395,Manhattan,Midtown,40.76487,-73.98238,Entire home/apt,748,30,0,364
19178,15253883,Spacious & Bright Midtown 1 Bedroom -Elevator Bldg,96867847,Manhattan,Midtown,40.75723,-73.96313,Entire home/apt,175,2,10,0
19187,15266254,The Manhattan Club in the heart of midtown!!!!,62563056,Manhattan,Midtown,40.76382,-73.98007,Entire home/apt,305,4,0,124
19198,15284819,Wyndham Midtown 45 New York City Studio,60085031,Manhattan,Midtown,40.7536,-73.97306,Entire home/apt,125,2,9,0
19213,15297862,LUXURY SUTTON PLACE RESIDENCY~DOORMAN/GYM/ELEVATOR,2856748,Manhattan,Midtown,40.75936,-73.96293,Entire home/apt,250,30,0,364
19216,15299748,EPIC VIEWS ❤️ Wyndham Midtown 45 at NYC Studio ❤️,64065593,Manhattan,Midtown,40.7531,-73.97321,Private room,252,2,3,324
19232,15311253,"2 Bedrooms, Luxury Doorman, Grand Central, Perfect",52950465,Manhattan,Midtown,40.75241,-73.97081,Entire home/apt,199,30,0,226
19242,15325255,Wyndham Studio Condo with Kitchen SPECIAL TODAY!,96098402,Manhattan,Midtown,40.75175,-73.97218000000001,Private room,269,3,8,365
19270,15347268,Modern Luxury 2 Bed/ 2 Bath apartment in Midtown!,836168,Manhattan,Midtown,40.75425,-73.98312,Entire home/apt,2000,30,4,365
19322,15411945,"Clean, cozy bedroom in luxury building",28007844,Manhattan,Midtown,40.74459,-73.99061,Private room,108,1,1,0
19417,15495202,"*Lux Doorman,New & Modern ,Grand Central",52950465,Manhattan,Midtown,40.75315,-73.97253,Entire home/apt,129,30,2,326
19421,15495897,Midtown East Stunner,61391963,Manhattan,Midtown,40.75592,-73.96891,Entire home/apt,125,30,8,342
19439,15507436,BEAUTIFUL RENOVATED APT. 208,99539943,Manhattan,Midtown,40.74828,-73.98401,Private room,189,1,4,365
19460,15523281,1 bedroom to yourself in Midtown Manhattan!,96595601,Manhattan,Midtown,40.75966,-73.96313,Entire home/apt,135,3,21,0
19495,15560799,BEAUTIFUL NEW Renovated Apt!!,100197679,Manhattan,Midtown,40.747679999999995,-73.98723000000001,Entire home/apt,195,1,2,351
19502,15564955,Sleep Cosy in an Elegant Midtown East Apartment,437960,Manhattan,Midtown,40.76135,-73.96645,Private room,230,8,4,87
19551,15633514,Great Bedroom in Homey Apartment,4808861,Manhattan,Midtown,40.75622,-73.96768,Private room,125,1,0,0
19553,15634892,"Adorable, NYC studio for the holiday!",15353668,Manhattan,Midtown,40.75228,-73.97185999999999,Entire home/apt,144,28,0,90
19554,15635167,Co-op Apartment in The Lombardy Hotel- 250 sq. ft.,100829279,Manhattan,Midtown,40.76195,-73.97148,Entire home/apt,210,1,202,211
19574,15659791,Lovely studio near Grand Central /You will love it,1475015,Manhattan,Midtown,40.75105,-73.97045,Entire home/apt,95,30,0,297
19606,15701072,DREAM MIDTOWN RENOVATED STUDIO,101378990,Manhattan,Midtown,40.746340000000004,-73.98704000000001,Private room,179,1,4,337
19653,15735305,Wyndham Midtown Condo with Full Kitchen SPECIAL!,96098402,Manhattan,Midtown,40.75365,-73.97151,Private room,369,3,8,365
19764,15825854,"Beautiful & centrally located, big 1 bedroom apt.",13454974,Manhattan,Midtown,40.74665,-73.98042,Entire home/apt,175,2,11,88
19802,15857259,5 Star Luxury 2 BR Suite Heart of Manhattan,26556695,Manhattan,Midtown,40.7611,-73.97412,Entire home/apt,2000,2,3,364
19803,15857334,5 Star Luxury Suite Heart of Manhattan,26556695,Manhattan,Midtown,40.76042,-73.97345,Entire home/apt,1020,1,12,365
19843,15890023,Spacious & Sunny 1 Bedroom Gramercy/Flatiron Apt,8330977,Manhattan,Midtown,40.742259999999995,-73.98344,Entire home/apt,197,2,47,13
19853,15910575,Delightful place to stay,103131157,Manhattan,Midtown,40.74771,-73.98873,Private room,115,1,2,88
19925,15968041,Wyndham Midtown 45 King Suite Times Square NYC,57574248,Manhattan,Midtown,40.753609999999995,-73.97215,Entire home/apt,175,3,0,0
19952,15984446,★City That Never Sleeps★ Hotel Room @ Midtown 45 ★,64065593,Manhattan,Midtown,40.7523,-73.97288,Private room,198,2,23,329
19984,15998138,❤️ POSH NYC RESORT - Midtown 45 - 2 Guests ❤️,64065593,Manhattan,Midtown,40.7522,-73.97285,Entire home/apt,198,2,31,322
20004,16014578,Christmas Shopping in Manhattan,19080025,Manhattan,Midtown,40.76365,-73.98149000000001,Private room,350,4,0,0
20011,16018094,STUDIO in Wyndham Midtown 45 New York City!,69545883,Manhattan,Midtown,40.753809999999994,-73.97125,Private room,899,2,2,365
20017,16026000,Nice Manhattan bedroom,34320426,Manhattan,Midtown,40.75976,-73.97178000000001,Private room,90,1,6,0
20025,16028015,1 Block to Central Park Manhattan Luxury Condo,63393629,Manhattan,Midtown,40.7635,-73.97677,Entire home/apt,700,10,15,302
20027,16029127,Sleeps 4 Guest's | CENTRALLY LOCATED | Midtown 45,64065593,Manhattan,Midtown,40.75246,-73.97355999999999,Entire home/apt,198,2,27,246
20093,16087249,1 Bdrm Deluxe located in Wyndham Midtown 45 Resort,69545883,Manhattan,Midtown,40.75356,-73.97155,Private room,799,3,1,365
20094,16087406,2 BDRM Presidential Reserve at Wyndham Midtown 45,69545883,Manhattan,Midtown,40.753679999999996,-73.97358,Private room,1599,3,2,365
20104,16098020,1 Bdrm PRESIDENTIAL RESERVE at Wyndham Midtown 45,69545883,Manhattan,Midtown,40.75162,-73.9732,Private room,649,3,1,365
20107,16099666,King/Queen Hotel Room at Wyndham Midtown 45,69545883,Manhattan,Midtown,40.7524,-73.97153,Private room,699,3,1,365
20108,16100032,KG Room Wyndham Midtown 45,69545883,Manhattan,Midtown,40.75362,-73.97332,Private room,799,3,1,365
20125,16120840,Luxurious studio - West 57th Street Club by Hilton,8572778,Manhattan,Midtown,40.76409,-73.9791,Entire home/apt,500,2,4,91
20131,16123657,Modern Large Apartment in Midtown East,6984985,Manhattan,Midtown,40.75574,-73.9705,Entire home/apt,279,5,3,0
20164,16147304,Studio/Full Kitchen at Wyndham Midtown 45 Resort,69545883,Manhattan,Midtown,40.75302,-73.97221,Private room,699,3,2,365
20185,16159901,1 Bedroom Presidential at Wyndham Midtown 45,69545883,Manhattan,Midtown,40.75228,-73.97185,Private room,799,2,1,365
20219,16173564,The Gnome House “ Oasis in the city “,92828204,Manhattan,Midtown,40.75979,-73.96444,Entire home/apt,1200,1,36,354
20301,16228346,ENTIRE UNIT: MID TOWN NYC - GRAND CENTRAL STATION,43828940,Manhattan,Midtown,40.75343,-73.97313,Entire home/apt,119,3,0,0
20354,16257916,Studio Apartment in Wyndham Midtown 45.,42734903,Manhattan,Midtown,40.75374,-73.97138000000001,Entire home/apt,300,3,0,0
20361,16259629,New Year's Eve Time Square,82319393,Manhattan,Midtown,40.75073,-73.98439,Private room,350,3,1,0
20447,16301899,Private room in well furnished quintessential 2BR!,5865860,Manhattan,Midtown,40.75524,-73.96755,Private room,120,2,2,0
20459,16310798,Hotel Room King/Queen at Wyndham Midtown 45 Resort,69545883,Manhattan,Midtown,40.751979999999996,-73.97266,Private room,799,3,3,365
20550,16348240,Wyndham 2 doubles hotel room,60617669,Manhattan,Midtown,40.75169,-73.97174,Entire home/apt,149,2,2,0
20585,16363434,Midtown Loft,40965944,Manhattan,Midtown,40.75092,-73.98635999999999,Entire home/apt,290,2,5,0
20616,16378007,307 E 44th st 1BR great loc,53179388,Manhattan,Midtown,40.75006,-73.97006999999999,Entire home/apt,150,30,3,350
20618,16378562,Charming studio in midtown east,20692024,Manhattan,Midtown,40.75827,-73.96195999999999,Entire home/apt,215,5,7,0
